ID,Quiz: Week 1 (68682),Quiz: Week 2 (70043),Quiz: Week 3 (71647),Quiz: Week 4 (72797),Quiz: Week 5 (74456),Quiz: Week 6 (75572),Quiz: Week 7 (76768),Quiz: Week 8 (86753),Quiz: Week 9 (88584),Lecture Participation (72030),Pre-Course Survey (EC) (71678),Mid-Course Survey (EC) (85274),Post-Course Survey (EC) (85275),Final Project EC (video) (88590),A1 (72018),A2 (72019),A3 (72020),A4 (72021),A5 (72022),A6 (72023),A_Section (92843),Project Proposal (72024),Project Check-In (72025),Project Survey (72026),Final Project (72027),Guest Lecture 1 (72028),Guest Lecture 2 (72029)
001_wi20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,0,NA,NA,NA,7.4,7.25,7.5,7.5,0,9.7,2,0,NA,0,0
002_wi20,10,10,NA,10,10,10,10,10,10,NA,0.25,0.25,0.25,4.5,6.75,7.5,7.2,7.5,7.5,7.5,0,7,2,3,21.75,2.5,2.5
003_wi20,10,10,10,9,9,8,10,10,10,NA,0.25,0.25,0.25,NA,6,7.5,7.3,7.5,7.3,7.5,0,7.1,2,3,23.75,2.5,0
004_wi20,9,8,6.5,10,NA,10,10,10,10,NA,0,0,0,NA,NA,7.5,7.3,7.5,7.3,7,0,6.7,2,3,25,0,0
005_wi20,7,7,10,5,9,9,10,10,10,NA,0.25,0.25,0.25,5,6.75,7,7,7.5,7.3,7.5,7.5,9.1,2,3,23.5,2.5,2.5
006_wi20,10,9,NA,4,9,7,9,8,NA,NA,0.25,0,0.25,NA,7,7.2,7.4,7.25,7.3,7.5,0,9.4,2,3,24.88,2.5,2.5
007_wi20,10,10,9,9.5,8.5,8.8,8.25,9,NA,NA,0.25,0.25,0.25,NA,7.5,7.3,7,7.5,7.1,7.5,0,9.2,2,3,24.5,2.5,2.5
008_wi20,8,10,9,8,10,9.8,9,10,10,NA,0.25,0,0,5,6.5,7.5,7.25,7.5,7.5,7.5,0,7.4,2,0,25,0,2.5
009_wi20,8,NA,6.5,4.75,6,7.6,7.25,8,NA,NA,0,0.25,0.25,NA,6.5,5.25,6.7,7.5,6.9,7,0,8.9,2,3,23.62,0,0
010_wi20,10,9,8.5,NA,8,10,10,10,NA,NA,0.25,0,0,NA,5.25,0,0,0,0,0,0,9.2,2,3,23.75,2.5,0
011_wi20,8,10,10,8,8,10,10,10,9,NA,0.25,0.25,0.25,NA,7.5,7.4,7.2,7.5,6.95,7.5,7.5,9,2,3,22,2.5,2.5
012_wi20,10,10,10,10,9.5,10,10,10,10,10,0,0.25,0.25,NA,6.5,7.3,6.95,7.5,7.5,6.25,7.5,9.4,2,3,22.5,2.5,2.5
013_wi20,10,10,9.67,10,NA,10,10,10,NA,NA,0.25,0,0.25,NA,7.5,6.6,6.85,7.25,6.3,7.5,0,7.9,2,3,24.62,2.5,2.5
