ID,total_points,letter_grade
001_wi20,0,F
001_wi20,0,F
001_wi20,NA,NA
001_wi20,NA,NA
002_wi20,97.95,A+
003_wi20,91.95,A-
004_wi20,82.49,B-
005_wi20,101.15,A+
006_wi20,95.43,A
007_wi20,97.48,A+
008_wi20,95.37,A
009_wi20,83.89,B
010_wi20,54.14,F
011_wi20,95.72,A
012_wi20,95.65,A
013_wi20,93.73,A
014_wi20,98.7,A+
015_wi20,93.73,A
016_wi20,102.58,A+
017_wi20,93.1,A
018_wi20,0,F
018_wi20,0,F
018_wi20,NA,NA
018_wi20,NA,NA
019_wi20,91.79,A-
020_wi20,88.51,B+
021_wi20,84.74,B
022_wi20,0,F
022_wi20,0,F
022_wi20,NA,NA
022_wi20,NA,NA
023_wi20,93.83,A
024_wi20,99.55,A+
025_wi20,97.8,A+
026_wi20,97.73,A+
027_wi20,96.95,A
028_wi20,97.95,A+
029_wi20,87.81,B+
030_wi20,89.07,B+
031_wi20,100.05,A+
032_wi20,98.01,A+
033_wi20,96.72,A
034_wi20,96.7,A
035_wi20,98.26,A+
036_wi20,94.76,A
037_wi20,98.3,A+
038_wi20,85.64,B
039_wi20,91.34,A-
040_wi20,99.24,A+
041_wi20,96.37,A
042_wi20,93.91,A
043_wi20,93.3,A
044_wi20,95.15,A
045_wi20,96.37,A
046_wi20,93.42,A
047_wi20,93.72,A
048_wi20,97.07,A+
049_wi20,98.66,A+
050_wi20,95.28,A
051_wi20,93.46,A
052_wi20,97.07,A+
053_wi20,93.78,A
054_wi20,0,F
054_wi20,0,F
054_wi20,NA,NA
054_wi20,NA,NA
055_wi20,89.07,B+
056_wi20,94.83,A
057_wi20,97.9,A+
058_wi20,93.12,A
059_wi20,96.86,A
060_wi20,94.82,A
061_wi20,96.5,A
062_wi20,92.49,A-
063_wi20,0,F
063_wi20,0,F
063_wi20,NA,NA
063_wi20,NA,NA
064_wi20,98.1,A+
065_wi20,83.1,B
066_wi20,60.81,D
067_wi20,91.7,A-
068_wi20,101.15,A+
069_wi20,101.5,A+
070_wi20,100.74,A+
071_wi20,86.81,B
072_wi20,92.64,A-
073_wi20,92.66,A-
074_wi20,99.04,A+
075_wi20,97.56,A+
076_wi20,66.4,D
077_wi20,95.77,A
078_wi20,99,A+
079_wi20,100.77,A+
080_wi20,97.18,A+
081_wi20,97.15,A+
082_wi20,93.01,A
083_wi20,95.85,A
084_wi20,98.43,A+
085_wi20,93.7,A
086_wi20,102.85,A+
087_wi20,97.17,A+
088_wi20,94.72,A
089_wi20,102.85,A+
090_wi20,96.83,A
091_wi20,97.29,A+
092_wi20,94.19,A
093_wi20,98.5,A+
094_wi20,96.59,A
095_wi20,98.17,A+
096_wi20,97.32,A+
097_wi20,101.92,A+
098_wi20,98.86,A+
099_wi20,96.13,A
100_wi20,95.32,A
101_wi20,95.78,A
102_wi20,0,F
102_wi20,0,F
102_wi20,NA,NA
102_wi20,NA,NA
103_wi20,98.34,A+
104_wi20,98.35,A+
105_wi20,93.35,A
106_wi20,95.1,A
107_wi20,99.58,A+
108_wi20,95.65,A
109_wi20,102.13,A+
110_wi20,103.35,A+
111_wi20,99.24,A+
112_wi20,0,F
112_wi20,0,F
112_wi20,NA,NA
112_wi20,NA,NA
113_wi20,92.64,A-
114_wi20,103.63,A+
115_wi20,103,A+
116_wi20,98.67,A+
117_wi20,92.41,A-
118_wi20,96.75,A
119_wi20,95.55,A
120_wi20,97.13,A+
121_wi20,91.72,A-
122_wi20,97.8,A+
123_wi20,97.65,A+
124_wi20,99.62,A+
125_wi20,96.25,A
126_wi20,88.24,B+
127_wi20,93.06,A
128_wi20,102.07,A+
129_wi20,91.28,A-
130_wi20,96.51,A
131_wi20,96.84,A
132_wi20,96.46,A
133_wi20,91.19,A-
134_wi20,95.32,A
135_wi20,99,A+
136_wi20,86.32,B
137_wi20,99.92,A+
138_wi20,95.5,A
139_wi20,99.14,A+
140_wi20,93.63,A
141_wi20,97.4,A+
142_wi20,96.64,A
143_wi20,92.81,A-
144_wi20,95.55,A
145_wi20,75.22,C
146_wi20,93.61,A
147_wi20,97.12,A+
148_wi20,92.75,A-
149_wi20,91.69,A-
150_wi20,92.44,A-
151_wi20,93.88,A
152_wi20,91.82,A-
153_wi20,99.73,A+
154_wi20,96.97,A
155_wi20,99,A+
156_wi20,96.24,A
157_wi20,97.49,A+
158_wi20,91.25,A-
159_wi20,101.68,A+
160_wi20,87.87,B+
161_wi20,91.8,A-
162_wi20,91.92,A-
163_wi20,94.61,A
164_wi20,97.13,A+
165_wi20,85.35,B
166_wi20,96.92,A
167_wi20,83.26,B
168_wi20,97.11,A+
169_wi20,76.91,C
170_wi20,94.26,A
171_wi20,85.37,B
172_wi20,94.79,A
173_wi20,96.28,A
174_wi20,95.36,A
175_wi20,94.35,A
176_wi20,86.92,B
177_wi20,98.15,A+
178_wi20,103.5,A+
179_wi20,94.83,A
180_wi20,94.98,A
181_wi20,97.37,A+
182_wi20,101.88,A+
183_wi20,87.66,B+
184_wi20,94.25,A
185_wi20,97.05,A+
186_wi20,99.57,A+
187_wi20,97.24,A+
188_wi20,99.09,A+
189_wi20,88.91,B+
190_wi20,98.53,A+
191_wi20,98.01,A+
192_wi20,99.67,A+
193_wi20,98.55,A+
194_wi20,93.51,A
195_wi20,96.35,A
196_wi20,95.05,A
197_wi20,97.09,A+
198_wi20,97.67,A+
199_wi20,96.43,A
200_wi20,77.05,C+
201_wi20,100.3,A+
202_wi20,101.15,A+
203_wi20,89.59,B+
204_wi20,0,F
204_wi20,0,F
204_wi20,NA,NA
204_wi20,NA,NA
205_wi20,0,F
205_wi20,0,F
205_wi20,NA,NA
205_wi20,NA,NA
206_wi20,97.27,A+
207_wi20,99.3,A+
