ID,"Difficulty: Relative to other courses you've taken at UCSD, COGS 108 is...","Workload: Relative to other courses you've taken at UCSD, COGS 108 is...",A1_t,A2_t,A3_t
002_wi20,somewhat more difficult than my other courses,somewhat less work than my other courses,2,4,4
003_wi20,somewhat easier than my other courses,somewhat less work than my other courses,3,5,5
005_wi20,about as difficult as my other courses,about the same amount of work as my other courses,3,6,8
007_wi20,somewhat easier than my other courses,somewhat less work than my other courses,1,1,1.5
009_wi20,somewhat easier than my other courses,about the same amount of work as my other courses,4,3,4
011_wi20,about as difficult as my other courses,about the same amount of work as my other courses,3,5,5
014_wi20,about as difficult as my other courses,about the same amount of work as my other courses,4,6,10
015_wi20,about as difficult as my other courses,about the same amount of work as my other courses,1.5,2,3
017_wi20,about as difficult as my other courses,about the same amount of work as my other courses,5,5,5
019_wi20,about as difficult as my other courses,about the same amount of work as my other courses,4,4,6
021_wi20,somewhat easier than my other courses,somewhat less work than my other courses,3,5,6
024_wi20,about as difficult as my other courses,about the same amount of work as my other courses,1,2,4
025_wi20,way easier than my other courses,about the same amount of work as my other courses,3,2,2
026_wi20,about as difficult as my other courses,somewhat less work than my other courses,1,1,1
027_wi20,somewhat easier than my other courses,somewhat less work than my other courses,2,2,3
031_wi20,about as difficult as my other courses,about the same amount of work as my other courses,4,5,8
032_wi20,about as difficult as my other courses,about the same amount of work as my other courses,8,12,14
033_wi20,somewhat more difficult than my other courses,somewhat more work than my other courses,2,3,4
034_wi20,somewhat easier than my other courses,somewhat less work than my other courses,0.5,1.5,3
035_wi20,somewhat easier than my other courses,somewhat less work than my other courses,2,2,4
037_wi20,somewhat easier than my other courses,somewhat less work than my other courses,1,1.5,1.5
039_wi20,way easier than my other courses,way less work than my other courses,0.5,0.75,0.45
040_wi20,somewhat easier than my other courses,somewhat less work than my other courses,2,3,4
041_wi20,about as difficult as my other courses,about the same amount of work as my other courses,1,2,2.5
044_wi20,about as difficult as my other courses,about the same amount of work as my other courses,2.5,2.5,3.5
045_wi20,about as difficult as my other courses,about the same amount of work as my other courses,1.5,2,3
046_wi20,about as difficult as my other courses,about the same amount of work as my other courses,3,4,6
049_wi20,way easier than my other courses,about the same amount of work as my other courses,2,5,10
050_wi20,way easier than my other courses,way less work than my other courses,1,1,1
051_wi20,about as difficult as my other courses,about the same amount of work as my other courses,3,3,6
052_wi20,somewhat easier than my other courses,somewhat less work than my other courses,2,2,2
053_wi20,somewhat easier than my other courses,about the same amount of work as my other courses,4,6,8
056_wi20,somewhat easier than my other courses,somewhat less work than my other courses,2,3,4
057_wi20,somewhat more difficult than my other courses,somewhat more work than my other courses,5,8,10
059_wi20,somewhat easier than my other courses,about the same amount of work as my other courses,4,4,5
060_wi20,somewhat easier than my other courses,somewhat less work than my other courses,1,2,3
061_wi20,way easier than my other courses,way less work than my other courses,2,2,2
064_wi20,about as difficult as my other courses,somewhat less work than my other courses,1,2,3
065_wi20,somewhat easier than my other courses,somewhat less work than my other courses,1,2,2
