ID,role,groups,days online,posts,answers,edits to answers,followups,replies to followups,p_stat_sum
002_wi20,student,NA,214,4,0,0,2,0,6
003_wi20,student,NA,109,0,0,0,0,0,0
004_wi20,student,NA,6,0,0,0,0,0,0
005_wi20,student,NA,118,1,0,0,0,0,1
006_wi20,student,NA,165,0,0,0,0,0,0
008_wi20,student,NA,61,0,0,0,1,0,1
009_wi20,student,NA,107,0,0,0,0,0,0
010_wi20,student,NA,1,0,0,0,0,0,0
011_wi20,student,NA,124,2,2,0,0,0,4
013_wi20,student,NA,177,0,0,0,0,0,0
015_wi20,student,NA,94,1,0,0,1,0,2
016_wi20,student,NA,195,3,0,0,0,0,3
020_wi20,student,NA,104,1,0,0,1,0,2
021_wi20,student,NA,123,0,0,0,0,0,0
023_wi20,student,NA,123,0,0,0,0,0,0
025_wi20,student,NA,236,2,1,0,2,0,5
026_wi20,student,NA,156,3,1,1,1,0,6
027_wi20,student,NA,178,0,0,0,0,0,0
029_wi20,student,NA,96,0,0,0,0,0,0
031_wi20,student,NA,189,3,1,0,0,0,4
033_wi20,student,NA,56,9,1,0,2,2,14
034_wi20,student,NA,166,1,0,0,0,0,1
035_wi20,student,NA,131,0,0,0,1,2,3
036_wi20,student,NA,164,13,1,0,4,1,19
037_wi20,student,NA,124,0,0,0,0,0,0
038_wi20,student,NA,125,0,0,0,0,0,0
040_wi20,student,NA,230,4,0,0,1,1,6
042_wi20,student,NA,75,1,0,0,0,0,1
043_wi20,student,NA,40,3,0,0,0,0,3
044_wi20,student,NA,62,0,0,0,1,0,1
045_wi20,student,NA,86,7,0,0,1,3,11
046_wi20,student,NA,187,2,0,0,0,0,2
048_wi20,student,NA,30,0,0,0,0,0,0
050_wi20,student,NA,96,1,0,0,0,0,1
051_wi20,student,NA,19,0,0,0,0,0,0
053_wi20,student,NA,92,2,0,0,0,0,2
055_wi20,student,NA,85,0,0,0,0,0,0
056_wi20,student,NA,112,0,0,0,0,0,0
057_wi20,student,NA,213,2,0,0,1,0,3
059_wi20,student,NA,128,3,0,0,0,0,3
060_wi20,student,NA,181,0,0,0,0,0,0
064_wi20,student,NA,102,3,0,0,0,0,3
065_wi20,student,NA,118,0,0,0,0,0,0
067_wi20,student,NA,64,3,0,0,0,0,3
069_wi20,student,NA,164,2,0,0,1,0,3
075_wi20,student,NA,79,3,0,0,0,0,3
077_wi20,student,NA,82,2,0,0,1,0,3
078_wi20,student,NA,171,5,0,0,1,0,6
079_wi20,student,NA,281,2,0,0,0,0,2
080_wi20,student,NA,209,2,0,0,3,1,6
083_wi20,student,NA,109,5,1,0,0,0,6
084_wi20,student,NA,205,1,1,0,0,0,2
085_wi20,student,NA,59,2,0,0,0,0,2
087_wi20,student,NA,158,4,0,0,0,0,4
088_wi20,student,NA,97,1,0,0,0,0,1
090_wi20,student,NA,137,0,0,0,0,0,0
091_wi20,student,NA,43,0,0,0,0,0,0
094_wi20,student,NA,72,1,0,0,0,0,1
095_wi20,student,NA,143,6,1,0,2,0,9
096_wi20,student,NA,35,1,0,0,0,0,1
097_wi20,student,NA,89,4,0,0,1,0,5
098_wi20,student,NA,238,3,0,0,0,0,3
099_wi20,student,NA,17,2,0,0,0,0,2
100_wi20,student,NA,139,5,0,0,2,2,9
103_wi20,student,NA,160,3,0,0,0,0,3
104_wi20,student,NA,174,4,2,0,0,0,6
105_wi20,student,NA,116,0,1,0,0,0,1
106_wi20,student,NA,177,0,0,0,0,0,0
108_wi20,student,NA,42,10,1,0,1,0,12
111_wi20,student,NA,142,0,0,0,0,0,0
114_wi20,student,NA,48,2,0,0,2,0,4
115_wi20,student,NA,237,3,0,0,0,0,3
119_wi20,student,NA,174,19,2,0,3,5,29
120_wi20,student,NA,172,0,2,0,0,0,2
121_wi20,student,NA,88,1,0,0,0,0,1
122_wi20,student,NA,229,5,0,0,0,1,6
123_wi20,student,NA,221,1,4,3,0,0,8
124_wi20,student,NA,120,2,0,0,4,1,7
125_wi20,student,NA,135,0,0,0,0,0,0
127_wi20,student,NA,113,1,0,0,0,0,1
129_wi20,student,NA,133,1,0,0,0,0,1
130_wi20,student,NA,69,0,0,0,0,0,0
131_wi20,student,NA,123,0,0,0,0,0,0
132_wi20,student,NA,67,1,0,0,1,0,2
134_wi20,student,NA,101,1,0,0,0,0,1
135_wi20,student,NA,64,1,0,0,0,0,1
137_wi20,student,NA,127,4,0,0,4,5,13
139_wi20,student,NA,92,1,0,0,0,0,1
140_wi20,student,NA,188,1,0,0,0,0,1
142_wi20,student,NA,25,0,0,0,0,0,0
143_wi20,student,NA,74,0,0,0,0,0,0
145_wi20,student,NA,39,1,2,0,0,0,3
148_wi20,student,NA,234,0,0,0,0,0,0
149_wi20,student,NA,91,2,2,0,1,2,7
150_wi20,student,NA,15,0,0,0,0,0,0
151_wi20,student,NA,12,0,0,0,0,0,0
152_wi20,student,NA,144,1,0,0,0,0,1
154_wi20,student,NA,172,1,0,0,3,0,4
156_wi20,student,NA,91,0,0,0,0,0,0
158_wi20,student,NA,121,1,0,0,0,0,1
160_wi20,student,NA,103,0,0,0,0,0,0
161_wi20,student,NA,100,3,0,0,2,0,5
162_wi20,student,NA,164,0,1,0,0,0,1
165_wi20,student,NA,147,0,0,0,0,0,0
167_wi20,student,NA,117,2,0,0,1,2,5
170_wi20,student,NA,168,0,0,1,0,0,1
171_wi20,student,NA,95,1,0,0,0,0,1
172_wi20,student,NA,190,1,0,0,0,0,1
173_wi20,student,NA,159,1,0,0,0,0,1
174_wi20,student,NA,112,0,0,0,0,0,0
175_wi20,student,NA,94,4,1,0,2,1,8
176_wi20,student,NA,72,0,0,0,0,1,1
177_wi20,student,NA,106,2,0,0,0,0,2
178_wi20,student,NA,136,1,0,0,0,0,1
179_wi20,student,NA,28,0,0,0,0,0,0
181_wi20,student,NA,124,1,0,0,0,0,1
182_wi20,student,NA,192,1,1,0,0,0,2
183_wi20,student,NA,34,7,1,0,2,1,11
184_wi20,student,NA,27,0,0,0,0,0,0
185_wi20,student,NA,113,0,0,0,0,0,0
186_wi20,student,NA,156,5,0,0,0,0,5
189_wi20,student,NA,135,1,0,0,0,0,1
190_wi20,student,NA,142,2,0,0,0,0,2
191_wi20,student,NA,108,2,1,0,2,2,7
192_wi20,student,NA,36,3,0,0,0,0,3
193_wi20,student,NA,229,1,2,0,0,0,3
194_wi20,student,NA,182,0,0,0,0,0,0
195_wi20,student,NA,48,2,0,0,0,0,2
196_wi20,student,NA,162,0,0,0,0,0,0
197_wi20,student,NA,203,0,0,0,0,0,0
200_wi20,student,NA,22,0,0,0,0,0,0
201_wi20,student,NA,94,4,1,0,0,0,5
202_wi20,student,NA,153,1,0,0,1,0,2
206_wi20,student,NA,28,0,0,0,0,0,0
207_wi20,student,NA,188,8,0,0,2,0,10
208_wi20,student,NA,85,2,0,0,0,0,2
210_wi20,student,NA,64,3,0,0,0,0,3
211_wi20,student,NA,174,5,1,0,1,0,7
212_wi20,student,NA,101,0,0,0,1,0,1
216_wi20,student,NA,204,1,0,0,0,0,1
217_wi20,student,NA,216,2,1,0,1,0,4
219_wi20,student,NA,45,0,0,0,0,0,0
223_wi20,student,NA,232,4,1,1,2,0,8
224_wi20,student,NA,49,4,0,0,0,0,4
225_wi20,student,NA,206,1,0,0,0,0,1
226_wi20,student,NA,100,2,0,0,0,0,2
228_wi20,student,NA,49,0,2,1,0,0,3
229_wi20,student,NA,46,1,0,0,0,0,1
230_wi20,student,NA,16,2,0,0,0,0,2
232_wi20,student,NA,197,1,0,0,2,0,3
233_wi20,student,NA,192,2,1,0,1,0,4
234_wi20,student,NA,37,3,1,0,0,1,5
236_wi20,student,NA,60,1,0,0,0,0,1
237_wi20,student,NA,129,0,0,0,0,0,0
238_wi20,student,NA,96,0,0,0,0,0,0
239_wi20,student,NA,183,1,0,0,0,0,1
240_wi20,student,NA,36,1,0,0,0,0,1
243_wi20,student,NA,163,0,0,0,0,0,0
245_wi20,student,NA,194,4,0,0,0,0,4
250_wi20,student,NA,61,1,0,0,0,0,1
251_wi20,student,NA,88,2,0,0,0,0,2
252_wi20,student,NA,116,1,0,0,0,0,1
253_wi20,student,NA,248,0,0,0,0,0,0
254_wi20,student,NA,162,4,0,0,0,0,4
255_wi20,student,NA,205,2,0,0,0,0,2
257_wi20,student,NA,199,0,0,0,0,0,0
261_wi20,student,NA,23,2,0,0,0,0,2
262_wi20,student,NA,140,0,0,0,1,0,1
263_wi20,student,NA,62,2,2,0,0,0,4
266_wi20,student,NA,18,2,1,0,0,0,3
267_wi20,student,NA,93,4,0,0,1,0,5
268_wi20,student,NA,157,1,0,0,0,0,1
270_wi20,student,NA,249,0,0,0,0,0,0
272_wi20,student,NA,126,0,0,0,0,0,0
274_wi20,student,NA,31,2,0,0,0,0,2
275_wi20,student,NA,157,1,0,0,0,2,3
277_wi20,student,NA,28,0,0,0,0,0,0
