ID,"Which of the following topics are you familiar with? (Here, familiar means you could explain the topic clearly to a friend without Googling it first.) Check all that apply.",How comfortable are you with statistics?,How comfortable are you with programming?,Check all that apply: Which of the following are skills you believe you possess?,A4_t,A5_t,A6_t,project_t
002_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, sentiment analysis, pandas (the package, not the animal), sklearn, A|B testing",7,8,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",1,2,1,30
003_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, p-value, sentiment analysis, geospatial analysis, pandas (the package, not the animal), sklearn",5,10,"Formulate a plan for and complete a data science project from start to finish, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",5,5,5,20
005_wi20,"version control (i.e. git), GitHub, Jupyter Notebooks, pandas (the package, not the animal)",8,7,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python",6,6,6,20
006_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, confounding, p-value, pandas (the package, not the animal)",5,8,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",6,6,6,10
007_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, confounding, p-value, pandas (the package, not the animal)",7,10,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",1,1,1,15
009_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, machine learning, p-value, sentiment analysis, pandas (the package, not the animal)",5,5,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",5,5,5,30
011_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, p-value, p-hacking, sentiment analysis, geospatial analysis, pandas (the package, not the animal), sklearn, tetral analysis, A|B testing",7,9,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",8,6,10,48
013_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, p-value, p-hacking, sentiment analysis, geospatial analysis, pandas (the package, not the animal), sklearn, A|B testing",7,9,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",4,6,6,20
014_wi20,"GitHub, Python, Jupyter Notebooks, JSON, p-value, p-hacking, pandas (the package, not the animal), A|B testing",5,7,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Identify and explain how to approach an unfamiliar data science task",10,12,6,40
015_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, p-value, sentiment analysis, geospatial analysis, pandas (the package, not the animal), sklearn, A|B testing",8,8,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",3,3,2,15
016_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, p-value, p-hacking, sentiment analysis, geospatial analysis, pandas (the package, not the animal), sklearn, A|B testing",10,10,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",1.5,1.5,1,10
017_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, pandas (the package, not the animal)",1,6,"Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",10,10,10,20
019_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, sentiment analysis, pandas (the package, not the animal)",6,4,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",6,10,6,10
020_wi20,"data science, GitHub, Python, Jupyter Notebooks, machine learning, confounding, sentiment analysis, pandas (the package, not the animal)",7,6,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations",8,8,8,20
021_wi20,"data science, GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, p-value, pandas (the package, not the animal), sklearn, A|B testing",5,6,Formulate a plan for and complete a data science project from start to finish,4,4,3,40
023_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, machine learning, confounding, p-value, p-hacking, sentiment analysis, pandas (the package, not the animal), A|B testing",10,10,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations",2,2,2,20
024_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, sentiment analysis, pandas (the package, not the animal)",5,10,"Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",5,5,3,15
026_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, p-value, p-hacking, sentiment analysis, geospatial analysis, pandas (the package, not the animal), sklearn, A|B testing",8,9,"Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",2,2.5,2,15
027_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, p-value, sentiment analysis, pandas (the package, not the animal), sklearn",7,10,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",3,7,2,30
028_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, p-value, sentiment analysis, geospatial analysis, pandas (the package, not the animal), sklearn",6,6,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",8,5,5,10
