ID,Which of the following courses have you taken previously? Check all that apply.,In which of the following programming language(s) are you comfortable? Check all that apply.,"Which of the following topics are you familiar with? (Here, familiar means you could explain the topic clearly to a friend without Googling it first.) Check all that apply.",How comfortable are you with statistics?,How comfortable are you with programming?,"Why did you enroll in COGS 108? (It is *totally* ok if your answer is ""it was required"")"
002_wi20,NA,"Python, Java","version control (i.e. git), GitHub, Python, JSON",5,6,Elective
005_wi20,NA,Java,Python,6,6,for elective class
006_wi20,NA,"Python, Java, MATLAB","version control (i.e. git), GitHub, Python, Jupyter Notebooks, p-value, pandas (the package, not the animal)",4,8,GE
007_wi20,NA,"Python, Java","version control (i.e. git), GitHub, Python, Jupyter Notebooks, p-value",8,10,CSE Elective
008_wi20,COGS 9 w/ Prof Ellis,"Python, Java, MATLAB","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, p-value, sentiment analysis, pandas (the package, not the animal), sklearn, A|B testing",8,9,I want to learn how to do a real data science project.
010_wi20,NA,None of these (I'm not comfortable programming),p-value,8,2,Core requirement for major
011_wi20,NA,Java,"GitHub, JSON",3,7,Was looking for a interesting elective
013_wi20,"COGS 9 w/ Prof Ellis, COGS 18 w/ Prof Ellis","Python, MATLAB","data science, GitHub, Python, Jupyter Notebooks, JSON, machine learning, confounding, p-hacking, sentiment analysis, pandas (the package, not the animal), sklearn",7,8,project experience/GE requirement
014_wi20,NA,Java,"data science, GitHub",7,4,I'm interested on cognitive science and want to choose it as a minor
015_wi20,NA,"Python, Java","data science, version control (i.e. git), GitHub, Python, tabular data, machine learning, p-value",6,8,technical elective
016_wi20,COGS 9 w/ Prof Voytek (or someone else),"Python, Java, MATLAB, R","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, p-value, pandas (the package, not the animal), sklearn",9,9,interested
017_wi20,NA,"Python, Java, MATLAB","version control (i.e. git), GitHub, Python, JSON, machine learning",2,7,fulfilled upperdiv
019_wi20,NA,Java,"p-value, A|B testing",8,3,"It was required, but the information does seem very useful"
020_wi20,COGS 18 w/ Prof Ellis,"Python, Java, MATLAB","data science, Python, Jupyter Notebooks, machine learning",4,3,Required for Machine Learning Degree
021_wi20,COGS 18 w/ Prof Ellis,"Python, Java","GitHub, Python, Jupyter Notebooks, machine learning",6,6,It was required.
023_wi20,COGS 9 w/ Prof Voytek (or someone else),"Python, Java","data science, version control (i.e. git), Python, Jupyter Notebooks, tabular data, machine learning, confounding, p-value, p-hacking, pandas (the package, not the animal), A|B testing",6,9,To gain project experience
024_wi20,NA,Java,GitHub,2,10,I am interested in learning about Data Science.
025_wi20,NA,Java,"GitHub, Python, Jupyter Notebooks",9,8,it was required
026_wi20,COGS 9 w/ Prof Voytek (or someone else),"Python, Java","data science, GitHub, Python, Jupyter Notebooks, p-value, pandas (the package, not the animal), sklearn, A|B testing",4,7,It was a course I could take for my DSC major and I'd heard a lot of good things about the class. Also I thought the project would be something nice to be able to show.
027_wi20,NA,"Python, Java","version control (i.e. git), GitHub, Python",5,10,When I was looking for a CSE elective to do I came across COGS 108 and it sounded very interesting. I haven't taken a COGS class before so I thought it would be something new.
