ID,Pronoun,Credits,College,Major,Level
002_wi20,NA,4,SI,CS26,JR
003_wi20,NA,4,WA,CS25,SR
004_wi20,NA,4,WA,CG35,JR
005_wi20,NA,4,FI,CS26,JR
006_wi20,NA,4,TH,MA30,JR
007_wi20,NA,4,WA,CS26,SR
008_wi20,NA,4,TH,DS25,JR
009_wi20,NA,4,WA,MA30,SO
010_wi20,NA,4,TH,CG29,SR
011_wi20,NA,4,SI,CS26,SR
012_wi20,NA,4,WA,CS26,JR
013_wi20,NA,4,WA,DS25,JR
014_wi20,NA,4,RE,CS26,JR
015_wi20,NA,4,FI,BE28,SR
016_wi20,NA,4,MU,DS25,JR
017_wi20,NA,4,WA,EC26,JR
019_wi20,NA,4,MU,CG33,SR
020_wi20,NA,4,RE,CG35,SR
021_wi20,NA,4,MU,CG35,SR
023_wi20,NA,4,SI,DS25,JR
024_wi20,NA,4,MU,CS26,JR
025_wi20,NA,4,WA,CS26,JR
026_wi20,NA,4,RE,DS25,SR
027_wi20,NA,4,SI,CS26,SR
028_wi20,NA,4,FI,CG29,SR
029_wi20,NA,4,TH,DS25,JR
030_wi20,NA,4,WA,EC26,JR
031_wi20,NA,4,SI,CG33,JR
032_wi20,NA,4,SI,CG30,SR
033_wi20,NA,4,FI,CG33,JR
034_wi20,NA,4,WA,CS26,SR
035_wi20,NA,4,MU,CS26,JR
036_wi20,NA,4,FI,CS26,SR
037_wi20,NA,4,RE,DS25,JR
038_wi20,NA,4,RE,EC26,SR
039_wi20,NA,4,SI,CS26,SR
040_wi20,NA,4,SI,CG35,SR
041_wi20,NA,4,RE,MA30,SR
042_wi20,NA,4,TH,CG32,SR
043_wi20,NA,4,SI,CG35,JR
044_wi20,NA,4,RE,CG27,SR
045_wi20,NA,4,WA,CG35,JR
046_wi20,NA,4,WA,CG35,JR
047_wi20,NA,4,RE,MA31,SR
048_wi20,NA,4,TH,BE25,SR
049_wi20,NA,4,MU,CS26,JR
050_wi20,NA,4,SI,DS25,SR
051_wi20,NA,4,MU,CG29,SR
052_wi20,NA,4,RE,DS25,SR
053_wi20,NA,4,SI,CG25,SR
055_wi20,NA,4,SI,CG33,SR
056_wi20,NA,4,WA,CS26,JR
057_wi20,NA,4,SI,CS28,SR
058_wi20,NA,4,FI,EC26,JR
059_wi20,NA,4,TH,CS26,SR
060_wi20,NA,4,WA,CS26,JR
061_wi20,NA,4,RE,CS26,SR
062_wi20,NA,4,SI,EC26,SR
064_wi20,NA,4,WA,DS25,SR
065_wi20,NA,4,RE,BI34,SR
066_wi20,NA,4,RE,CG35,JR
067_wi20,NA,4,MU,CG33,SR
068_wi20,NA,4,WA,PY26,SR
069_wi20,NA,4,FI,CG33,JR
070_wi20,NA,4,SI,DS25,JR
071_wi20,NA,4,TH,CS26,SR
072_wi20,NA,4,SI,MA30,SR
073_wi20,NA,4,WA,EN26,SR
074_wi20,NA,4,WA,CS26,SR
075_wi20,NA,4,SI,CG25,SO
076_wi20,NA,4,MU,CG25,SR
077_wi20,NA,4,WA,DS25,SR
078_wi20,NA,4,FI,DS25,SR
079_wi20,NA,4,RE,CS26,JR
080_wi20,NA,4,WA,CS26,SR
081_wi20,NA,4,MU,CS26,SR
082_wi20,NA,4,RE,CS26,JR
083_wi20,NA,4,FI,CG35,SR
084_wi20,NA,4,WA,CS26,SR
085_wi20,NA,4,WA,PC29,SR
086_wi20,NA,4,SI,DS25,SR
087_wi20,NA,4,MU,CS26,JR
088_wi20,NA,4,FI,CS26,SR
089_wi20,NA,4,FI,DS25,SR
090_wi20,NA,4,SI,DS25,SR
091_wi20,NA,4,TH,EN28,JR
092_wi20,NA,4,MU,CG29,SR
093_wi20,NA,4,SI,CS26,JR
094_wi20,NA,4,MU,CG31,JR
095_wi20,NA,4,WA,CS26,SO
096_wi20,NA,4,FI,CG29,SR
097_wi20,NA,4,SI,CG33,SR
098_wi20,He/Him,4,TH,CS26,JR
099_wi20,NA,4,WA,MC27,JR
100_wi20,NA,4,TH,CS26,JR
101_wi20,NA,4,TH,BE27,SR
103_wi20,NA,4,WA,CS26,SR
104_wi20,NA,4,FI,DS25,SR
105_wi20,NA,4,SI,DS25,JR
106_wi20,NA,4,WA,CS26,SR
107_wi20,NA,4,SI,DS25,SR
108_wi20,NA,4,SI,CG31,SR
109_wi20,NA,4,MU,DS25,SR
110_wi20,NA,4,WA,DS25,JR
111_wi20,NA,4,SI,CG33,JR
113_wi20,NA,4,FI,EN26,SR
114_wi20,NA,4,MU,IS34,SR
115_wi20,NA,4,WA,CG35,JR
116_wi20,NA,4,GR,EC79,MA
117_wi20,NA,4,RE,CG29,SR
118_wi20,NA,4,SI,BI36,JR
119_wi20,NA,4,WA,CG33,JR
120_wi20,NA,4,RE,DS25,SR
121_wi20,NA,4,TH,MA30,SR
122_wi20,NA,4,WA,EC27,JR
123_wi20,NA,4,MU,DS25,SR
124_wi20,NA,4,RE,CS26,SR
125_wi20,NA,4,SI,DS25,JR
126_wi20,NA,4,TH,CG29,JR
127_wi20,NA,4,SI,MA30,SR
128_wi20,NA,4,SI,CS26,SR
