ID,1,2,3,4,5,6,7,8,Grand Total
005_wi20,1,1,1,1,1,1,1,1,8
006_wi20,1,1,NA,NA,NA,NA,NA,NA,2
007_wi20,1,NA,NA,NA,NA,NA,NA,NA,1
009_wi20,1,NA,NA,NA,NA,NA,NA,NA,1
011_wi20,1,1,1,1,1,1,1,1,8
012_wi20,1,1,1,2,1,1,1,1,9
013_wi20,1,1,1,1,NA,NA,NA,NA,4
014_wi20,1,1,1,1,1,1,1,1,8
015_wi20,NA,1,NA,1,NA,1,1,1,5
016_wi20,1,NA,1,1,1,NA,1,1,6
024_wi20,1,1,1,1,1,NA,1,1,7
025_wi20,1,NA,1,1,1,1,1,1,7
027_wi20,1,NA,NA,NA,NA,1,NA,NA,2
028_wi20,1,1,1,1,1,1,1,NA,7
031_wi20,1,1,1,1,1,1,1,1,8
032_wi20,1,1,NA,1,1,1,1,1,7
033_wi20,1,1,NA,1,1,1,1,1,7
035_wi20,1,1,NA,NA,NA,NA,NA,NA,2
036_wi20,1,1,NA,1,1,1,NA,1,6
037_wi20,1,1,1,1,1,1,1,NA,7
040_wi20,1,1,1,1,1,1,1,1,8
042_wi20,1,1,NA,1,1,1,1,1,7
044_wi20,1,NA,1,1,1,1,1,1,7
045_wi20,1,1,NA,1,1,1,1,1,7
046_wi20,1,1,1,1,1,1,1,1,8
047_wi20,1,NA,1,1,1,NA,1,1,6
048_wi20,1,1,NA,1,1,1,1,1,7
050_wi20,1,1,NA,NA,NA,NA,NA,NA,2
051_wi20,1,1,1,1,1,1,1,1,8
052_wi20,1,NA,1,1,1,NA,NA,NA,4
053_wi20,1,1,NA,NA,1,NA,1,NA,4
056_wi20,1,1,1,NA,1,1,1,1,7
057_wi20,1,1,1,1,1,1,1,1,8
058_wi20,1,NA,NA,NA,NA,NA,NA,NA,1
064_wi20,1,NA,1,1,1,1,1,1,7
065_wi20,NA,NA,2,1,NA,2,NA,NA,5
066_wi20,1,NA,NA,1,1,NA,NA,NA,3
069_wi20,1,NA,1,NA,1,1,1,1,6
076_wi20,1,1,NA,1,1,1,1,1,7
078_wi20,1,1,NA,1,1,1,1,1,7
079_wi20,1,1,1,1,1,1,1,1,8
080_wi20,1,NA,NA,NA,NA,NA,NA,NA,1
082_wi20,NA,1,NA,2,2,1,NA,NA,6
083_wi20,1,NA,NA,NA,NA,NA,NA,NA,1
084_wi20,1,1,NA,NA,NA,NA,NA,NA,2
087_wi20,1,1,NA,1,1,1,1,1,7
088_wi20,1,1,NA,NA,NA,NA,NA,NA,2
089_wi20,1,1,1,1,1,1,1,1,8
090_wi20,1,1,1,1,1,1,1,1,8
091_wi20,NA,NA,NA,1,NA,NA,NA,NA,1
092_wi20,1,NA,1,1,1,1,1,1,7
093_wi20,1,NA,1,1,1,1,1,2,8
094_wi20,1,1,1,1,1,1,1,1,8
095_wi20,1,1,1,1,1,1,1,1,8
096_wi20,1,1,1,1,1,1,1,1,8
097_wi20,1,NA,NA,NA,NA,NA,NA,NA,1
098_wi20,1,1,1,1,1,1,1,1,8
099_wi20,1,NA,1,1,1,1,1,1,7
100_wi20,1,1,NA,NA,NA,NA,NA,NA,2
104_wi20,1,1,1,1,1,1,1,NA,7
105_wi20,NA,1,NA,NA,NA,1,NA,NA,2
107_wi20,1,NA,1,1,1,1,1,1,7
108_wi20,1,NA,NA,NA,NA,NA,NA,NA,1
109_wi20,1,1,1,1,1,1,NA,1,7
110_wi20,1,1,NA,1,1,1,NA,1,6
111_wi20,1,1,1,1,1,1,1,1,8
113_wi20,1,NA,NA,NA,NA,NA,NA,NA,1
114_wi20,1,1,1,1,1,1,1,1,8
115_wi20,1,1,NA,1,1,1,1,1,7
116_wi20,NA,NA,NA,3,1,NA,1,1,6
119_wi20,1,NA,NA,NA,NA,NA,NA,NA,1
120_wi20,1,NA,1,1,NA,NA,1,NA,4
124_wi20,1,1,1,NA,1,1,1,1,7
126_wi20,1,1,NA,NA,1,NA,1,NA,4
128_wi20,1,NA,1,1,NA,NA,NA,NA,3
131_wi20,NA,NA,NA,1,NA,NA,NA,NA,1
132_wi20,NA,NA,NA,NA,1,1,NA,1,3
135_wi20,1,NA,1,NA,NA,NA,NA,NA,2
137_wi20,1,1,1,1,1,1,1,1,8
138_wi20,1,1,1,1,NA,1,1,1,7
139_wi20,1,1,1,1,1,1,1,1,8
140_wi20,1,1,NA,NA,1,1,NA,NA,4
141_wi20,1,1,1,1,1,1,1,1,8
142_wi20,1,1,1,1,1,1,1,1,8
145_wi20,1,NA,NA,NA,NA,NA,NA,NA,1
146_wi20,1,NA,NA,NA,NA,NA,NA,NA,1
147_wi20,NA,1,1,NA,NA,NA,NA,NA,2
151_wi20,NA,1,NA,NA,NA,NA,NA,NA,1
153_wi20,1,NA,NA,NA,NA,NA,NA,NA,1
155_wi20,1,1,1,1,1,1,1,1,8
156_wi20,NA,1,NA,NA,NA,NA,NA,NA,1
161_wi20,1,NA,NA,NA,NA,NA,NA,NA,1
164_wi20,1,1,1,1,NA,NA,1,NA,5
166_wi20,1,NA,1,1,1,NA,1,1,6
167_wi20,1,NA,NA,NA,NA,NA,NA,NA,1
169_wi20,1,1,1,NA,1,1,1,1,7
171_wi20,1,1,1,1,1,1,1,1,8
175_wi20,NA,1,NA,NA,1,1,1,1,5
176_wi20,1,1,1,1,1,1,1,1,8
177_wi20,1,NA,1,NA,NA,NA,NA,NA,2
178_wi20,1,1,1,1,NA,1,1,1,7
180_wi20,1,1,1,NA,1,1,1,1,7
181_wi20,NA,NA,1,NA,NA,NA,NA,NA,1
182_wi20,1,1,1,1,1,1,1,1,8
183_wi20,2,1,1,1,1,1,NA,1,8
186_wi20,1,NA,NA,NA,NA,NA,NA,NA,1
188_wi20,1,NA,NA,NA,NA,NA,NA,NA,1
