ID,piazza views,hw_t,section,p_stat_sum,difficulty,workload,project_t,number of subjects learned ,How comfortable are you with programming?_x,How comfortable are you with statistics?_x,classes,lanuage,total_points,Major,Level,label
040_wi20,90.0,25.0,8.0,6.0,-0.5,-0.5,40.0,2.0,7.0,5.0,0,0,99.24,CG35,SR,1
052_wi20,0.0,14.0,4.0,0.0,-0.5,-0.5,20.0,12.0,9.0,6.0,1,1,97.07,DS25,SR,1
053_wi20,101.0,43.0,4.0,2.0,-0.5,0.0,40.0,2.0,5.0,3.0,2,1,93.78,CG25,SR,1
056_wi20,47.0,24.0,7.0,0.0,-0.5,-0.5,15.0,4.0,8.0,4.0,0,2,94.83,CS26,JR,1
064_wi20,91.0,21.0,7.0,3.0,0.0,-0.5,20.0,11.0,9.0,7.0,1,3,98.1,DS25,SR,1
069_wi20,54.0,11.0,6.0,3.0,-0.5,-0.5,6.0,4.0,6.0,6.0,1,1,101.5,CG33,JR,1
078_wi20,64.0,20.0,7.0,6.0,0.0,0.0,20.0,14.0,9.0,8.0,1,1,99.0,DS25,SR,1
089_wi20,0.0,6.5,8.0,0.0,-0.5,0.0,20.0,10.0,9.0,9.0,0,3,102.85,DS25,SR,1
094_wi20,89.0,47.0,8.0,1.0,-0.5,0.0,20.0,4.0,7.0,7.0,1,1,96.59,CG31,JR,1
098_wi20,95.0,49.0,8.0,3.0,-0.5,-0.5,20.0,5.0,6.0,2.0,0,0,98.86,CS26,JR,1
104_wi20,184.0,8.5,7.0,6.0,-0.5,-0.5,10.0,11.0,8.0,6.0,1,3,98.35,DS25,SR,1
107_wi20,0.0,10.0,7.0,0.0,-0.5,-0.5,20.0,6.0,9.0,5.0,1,1,99.58,DS25,SR,1
109_wi20,0.0,6.0,7.0,0.0,-1.0,-1.0,10.0,11.0,10.0,7.0,1,1,102.13,DS25,SR,1
110_wi20,0.0,16.5,6.0,0.0,-1.0,-1.0,20.0,7.0,9.0,7.0,1,1,103.35,DS25,JR,1
111_wi20,40.0,14.0,8.0,0.0,-0.5,-0.5,10.0,0.0,6.0,5.0,0,0,99.24,CG33,JR,1
120_wi20,171.0,21.0,4.0,2.0,0.0,-0.5,25.0,12.0,7.0,4.0,1,2,97.13,DS25,SR,1
140_wi20,143.0,17.0,4.0,1.0,-0.5,0.0,60.0,8.0,9.0,8.0,0,3,93.63,CG35,JR,1
155_wi20,0.0,7.0,8.0,0.0,-0.5,-0.5,10.0,9.0,8.0,8.0,1,1,99.0,DS25,SR,1
164_wi20,0.0,19.5,5.0,0.0,-0.5,-0.5,10.0,8.0,8.0,7.0,1,2,97.13,DS25,SR,1
175_wi20,127.0,25.0,5.0,8.0,-0.5,0.0,30.0,11.0,8.0,6.0,1,1,94.35,DS25,JR,1
193_wi20,107.0,16.0,8.0,3.0,-0.5,-0.5,16.0,1.0,3.0,3.0,1,1,98.55,DS25,JR,1
196_wi20,40.0,11.0,8.0,0.0,-1.0,-0.5,5.0,10.0,7.0,7.0,1,3,95.05,DS25,SR,1
197_wi20,171.0,34.0,8.0,0.0,-1.0,-1.0,15.0,5.0,8.0,6.0,0,1,97.09,CS25,SR,1
199_wi20,0.0,35.0,8.0,0.0,0.0,-0.5,40.0,6.0,10.0,3.0,1,1,96.43,CS26,JR,1
239_wi20,77.0,15.25,8.0,1.0,-1.0,-1.0,30.0,3.0,10.0,1.0,0,0,103.13,CG35,JR,1
245_wi20,107.0,42.0,8.0,4.0,0.0,-0.5,15.0,12.0,7.0,6.0,1,2,101.61,CS26,JR,1
259_wi20,0.0,20.0,8.0,0.0,-0.5,0.0,15.0,4.0,9.0,7.0,0,3,97.97,MA30,SR,1
274_wi20,43.0,33.0,7.0,2.0,0.0,-0.5,10.0,4.0,4.0,5.0,1,1,98.11,CG33,SR,1
275_wi20,183.0,17.0,6.0,3.0,-0.5,-0.5,12.0,5.0,7.0,8.0,1,1,91.1,DS25,SR,1
284_wi20,0.0,16.0,8.0,0.0,-0.5,0.0,20.0,12.0,8.0,8.0,1,3,101.63,DS25,JR,1
287_wi20,0.0,14.0,8.0,0.0,-1.0,-1.0,20.0,10.0,10.0,8.0,0,3,98.07,CS26,SR,1
290_wi20,11.0,10.5,8.0,0.0,-1.0,-0.5,18.0,13.0,8.0,7.0,1,1,84.35,DS25,JR,1
298_wi20,72.0,10.0,6.0,10.0,-1.0,-1.0,14.0,6.0,10.0,8.0,0,2,97.97,CS26,SR,1
316_wi20,74.0,14.0,7.0,5.0,-0.5,-0.5,20.0,8.0,8.0,8.0,1,2,100.87,DS25,SR,1
330_wi20,164.0,12.0,8.0,3.0,-0.5,-0.5,20.0,8.0,7.0,6.0,1,2,100.47,DS25,SR,1
