ID,piazza views,hw_t,section,p_stat_sum,difficulty,workload,project_t,number of subjects learned ,How comfortable are you with programming?_x,How comfortable are you with statistics?_x,classes,lanuage,total_points,Major,Level,label
002_wi20,173.0,18.0,0.0,6.0,0.5,-0.5,30.0,4.0,6.0,5.0,0,1,97.95,CS26,JR,3
005_wi20,52.0,41.0,8.0,1.0,0.0,0.0,20.0,1.0,6.0,6.0,0,0,101.15,CS26,JR,2
007_wi20,0.0,7.5,1.0,0.0,-0.5,-0.5,15.0,5.0,10.0,8.0,0,1,97.48,CS26,SR,0
011_wi20,125.0,42.0,8.0,4.0,0.0,0.0,48.0,2.0,7.0,3.0,0,0,95.72,CS26,SR,2
014_wi20,0.0,54.0,8.0,0.0,0.0,0.0,40.0,2.0,4.0,7.0,0,0,98.7,CS26,JR,2
015_wi20,85.0,16.5,5.0,2.0,0.0,0.0,15.0,7.0,8.0,6.0,0,1,93.73,BE28,SR,2
017_wi20,0.0,50.0,0.0,0.0,0.0,0.0,20.0,5.0,7.0,2.0,0,2,93.1,EC26,JR,3
019_wi20,0.0,40.0,0.0,0.0,0.0,0.0,10.0,2.0,3.0,8.0,0,0,91.79,CG33,SR,3
021_wi20,117.0,30.0,0.0,0.0,-0.5,-0.5,40.0,4.0,6.0,6.0,1,1,84.74,CG35,SR,0
024_wi20,0.0,22.0,7.0,0.0,0.0,0.0,15.0,1.0,10.0,2.0,0,0,99.55,CS26,JR,2
026_wi20,234.0,10.5,0.0,6.0,0.0,-0.5,15.0,8.0,7.0,4.0,1,1,97.73,DS25,SR,0
027_wi20,43.0,21.0,2.0,0.0,-0.5,-0.5,30.0,3.0,10.0,5.0,0,1,96.95,CS26,SR,0
031_wi20,302.0,38.0,8.0,4.0,0.0,0.0,40.0,2.0,6.0,3.0,1,1,100.05,CG33,JR,2
032_wi20,0.0,80.0,7.0,0.0,0.0,0.0,22.0,4.0,4.0,4.0,0,0,98.01,CG30,SR,2
